,0
2142,17.5
2143,7.5
2144,8.6
2145,11.1
2146,11.5
2147,10.7
2148,15.7
2149,12.8
2150,13.0
2151,12.9
2152,14.3
2153,13.7
2154,12.1
2155,11.9
2156,11.8
2157,11.4
2158,10.3
2159,11.7
2160,12.0
2161,17.4
2162,16.8
2163,16.2
2164,13.0
2165,12.5
2166,12.4
2167,16.1
2168,20.2
2169,14.3
2170,11.0
2171,14.4
2172,15.7
2173,19.7
2174,20.7
2175,23.9
2176,16.6
2177,17.5
2178,14.9
2179,13.6
2180,11.9
2181,15.2
2182,17.3
2183,19.8
2184,15.8
2185,9.5
2186,12.9
2187,12.9
2188,14.8
2189,14.1
2190,14.3
2191,17.4
2192,18.5
2193,16.8
2194,11.5
2195,9.5
2196,12.2
2197,15.7
2198,16.3
2199,13.6
2200,12.6
2201,13.8
2202,12.1
2203,13.4
2204,17.3
2205,19.4
2206,16.6
2207,13.9
2208,13.1
2209,16.0
2210,14.5
2211,15.0
2212,12.6
2213,12.5
2214,15.2
2215,16.2
2216,16.5
2217,20.1
2218,20.6
2219,16.9
2220,16.5
2221,16.1
2222,14.4
2223,16.3
2224,15.7
2225,14.2
2226,13.2
2227,16.8
2228,18.5
2229,16.7
2230,15.3
2231,15.9
2232,15.2
2233,17.5
2234,18.3
2235,19.4
2236,19.4
2237,19.5
2238,20.5
2239,15.7
2240,15.0
2241,16.1
2242,14.3
2243,13.0
2244,16.2
2245,17.7
2246,13.2
2247,15.8
2248,18.5
2249,20.4
2250,22.0
2251,19.7
2252,19.6
2253,20.3
2254,18.3
2255,18.9
2256,20.3
2257,21.4
2258,18.3
2259,17.8
2260,17.7
2261,12.8
2262,15.1
2263,15.0
2264,14.8
2265,12.0
2266,12.5
2267,15.0
2268,17.1
2269,17.3
2270,16.9
2271,16.5
2272,13.6
2273,13.2
2274,9.4
2275,9.5
2276,11.8
2277,10.4
2278,9.7
2279,12.6
2280,13.3
2281,15.1
2282,14.2
2283,14.2
2284,19.2
2285,12.6
2286,14.2
2287,11.9
2288,13.9
2289,13.5
2290,15.3
2291,13.9
2292,14.0
2293,12.9
2294,8.5
2295,11.4
2296,10.9
2297,12.0
2298,8.6
2299,9.0
2300,9.6
2301,10.2
2302,9.8
2303,8.3
2304,11.0
2305,11.9
2306,14.0
2307,15.8
2308,14.5
2309,13.2
2310,14.2
2311,14.6
2312,11.8
2313,14.4
2314,10.4
2315,10.3
2316,10.8
2317,10.5
2318,9.5
2319,12.5
2320,13.7
2321,12.7
2322,11.9
2323,11.4
2324,9.7
2325,8.3
2326,8.1
2327,11.7
2328,11.6
2329,7.4
2330,5.2
2331,11.0
2332,9.5
2333,9.2
2334,10.7
2335,9.0
2336,10.2
2337,10.3
2338,12.1
2339,13.2
2340,6.6
2341,2.3
2342,1.4
2343,2.1
2344,6.6
2345,8.9
2346,7.8
2347,9.0
2348,10.3
2349,7.9
2350,7.2
2351,8.6
2352,8.8
2353,6.2
2354,9.5
2355,10.2
2356,9.7
2357,11.2
2358,10.2
2359,10.1
2360,8.1
2361,6.6
2362,5.0
2363,4.7
2364,5.3
2365,4.5
2366,2.3
2367,1.4
2368,0.5
2369,2.4
2370,8.0
2371,6.0
2372,7.1
2373,9.7
2374,6.9
2375,5.3
2376,7.0
2377,6.2
2378,7.0
2379,9.7
2380,8.0
2381,8.5
2382,7.1
2383,7.5
2384,3.3
2385,1.8
2386,2.6
2387,5.3
2388,5.8
2389,5.8
2390,7.2
2391,5.3
2392,1.6
2393,3.1
2394,5.3
2395,7.7
2396,4.2
2397,5.5
2398,9.0
2399,11.2
2400,8.0
2401,7.6
2402,3.7
2403,7.5
2404,8.1
2405,8.4
2406,7.1
2407,7.6
2408,7.6
2409,5.6
2410,7.0
2411,10.5
2412,7.3
2413,7.8
2414,5.8
2415,3.8
2416,5.8
2417,6.7
2418,6.6
2419,6.6
2420,9.0
2421,8.1
2422,5.1
2423,8.6
2424,7.0
2425,5.5
2426,7.4
2427,6.2
2428,4.2
2429,6.3
2430,7.0
2431,4.0
2432,8.0
2433,8.8
2434,8.8
2435,6.1
2436,8.6
2437,8.9
2438,7.8
2439,5.0
2440,7.0
2441,13.3
2442,7.9
2443,7.5
2444,8.3
2445,7.2
2446,6.5
2447,8.9
2448,7.4
2449,9.9
2450,9.3
2451,10.6
2452,8.6
2453,7.2
2454,12.6
2455,7.8
2456,6.3
2457,9.2
2458,5.8
2459,9.0
2460,5.0
2461,11.9
2462,13.4
2463,10.5
2464,6.2
2465,5.1
2466,9.5
2467,11.7
2468,9.2
2469,7.3
2470,9.7
2471,9.4
2472,10.0
2473,10.9
2474,11.0
2475,10.9
2476,8.0
2477,11.2
2478,7.5
2479,7.2
2480,13.2
2481,12.9
2482,9.4
2483,10.2
2484,9.5
2485,12.4
2486,10.2
2487,13.4
2488,11.6
2489,8.0
2490,9.0
2491,9.3
2492,13.5
2493,8.0
2494,8.1
2495,10.0
2496,8.5
2497,12.5
2498,15.0
2499,13.3
2500,11.0
2501,11.9
2502,8.3
2503,9.7
2504,11.3
2505,12.5
2506,9.4
2507,11.4
2508,13.2
2509,13.8
2510,16.0
2511,10.9
2512,11.9
2513,12.4
2514,13.2
2515,15.5
2516,21.6
2517,14.9
2518,14.4
2519,12.9
2520,13.1
2521,14.0
2522,17.9
2523,17.7
2524,16.3
2525,18.3
2526,13.7
2527,13.3
2528,10.6
2529,14.1
2530,16.0
2531,16.5
2532,14.1
2533,18.7
2534,16.2
2535,14.8
2536,12.6
2537,10.4
2538,12.2
2539,12.6
2540,12.1
2541,17.3
2542,16.4
2543,12.6
2544,12.3
2545,11.8
2546,12.0
2547,12.7
2548,16.4
2549,16.0
2550,13.3
2551,11.7
2552,10.4
2553,14.4
2554,12.7
